layer_name,layer_index,u_statistic,z_score,p_value,p_adjusted_bh,rejected_bh,p_adjusted_by,rejected_by
features.0,0,119886.0,21.919174924859522,8.525990827553178e-107,9.743989517203632e-107,True,2.648277150925701e-106,True
features.2,1,119116.0,21.631332837862026,4.555622874611138e-104,4.555622874611138e-104,True,1.238153216992527e-103,True
features.5,2,120004.0,21.96328579013966,3.232547229070212e-107,4.310062972093616e-107,True,1.171413543486872e-106,True
features.7,3,122051.0,22.728497156482362,1.1710778242590031e-114,2.3421556485180062e-114,True,6.365644459007866e-114,True
features.10,4,121528.0,22.532988829859384,9.859582666468214e-113,1.5775332266349143e-112,True,4.287509948104177e-112,True
features.12,5,122429.0,22.86980145373568,4.64273099949334e-116,1.2380615998648907e-115,True,3.364874562489934e-115,True
features.15,6,122488.0,22.891856886375745,2.800214175257252e-116,1.1200856701029009e-115,True,3.044232839101098e-115,True
features.17,7,122500.0,22.8963427370822,2.5264147252936664e-116,1.1200856701029009e-115,True,3.044232839101098e-115,True
