layer_name,layer_index,u_statistic,z_score,p_value,p_adjusted_bh,rejected_bh,p_adjusted_by,rejected_by
conv1,0,82562.0,17.6919237757944,2.419731440994381e-70,3.226308587992508e-70,True,8.76864584093678e-70,True
layer1.1.conv1,1,76503.0,14.838061013190716,4.1562021006681757e-50,4.1562021006681757e-50,True,1.1295963566458863e-49,True
layer2.0.conv1,2,82182.0,17.51293914965322,5.70726395824717e-69,6.522587380853908e-69,True,1.772746070296366e-68,True
layer2.1.conv1,3,83761.0,18.25666737248722,9.156676162070317e-75,1.4650681859312509e-74,True,3.9818460339060065e-74,True
layer3.0.conv2,4,89444.0,20.93342955764595,1.3283830346844185e-97,1.0627064277475348e-96,True,2.8882842554138353e-96,True
layer3.1.conv2,5,88225.0,20.359265717472013,1.9214986963668482e-92,7.685994785467393e-92,True,2.0889435827645304e-91,True
layer4.0.conv2,6,88045.0,20.27448352614198,1.0802392367178322e-91,2.880637964580886e-91,True,7.829162468021621e-91,True
layer4.1.conv2,7,84118.0,18.42481871862512,4.1534245158787876e-76,8.306849031757575e-76,True,2.2576828975598266e-75,True
